Kode,Kota,Kecamatan,Provinsi,Latitude,Longitude
501409,Aceh Barat,Kab. Aceh Barat,Aceh,4.176.594,96.124.878
501400,Aceh Barat Daya,Kab. Aceh Barat Daya,Aceh,3.74,96.86
501404,Aceh Besar,Kab. Aceh Besar,Aceh,5.298.143,95.596.848
501401,Aceh Jaya,Kab. Aceh Jaya,Aceh,4.616.666.668,956.167
501417,Aceh Selatan,Kab. Aceh Selatan,Aceh,3.28,97.22
501414,Aceh Singkil,Kab. Aceh Singkil,Aceh,2.31,97.85
501403,Aceh Tamiang,Kab. Aceh Tamiang,Aceh,4.284.788,98.065.338
501416,Aceh Tengah,Kab. Aceh Tengah,Aceh,456.693,9.681.466
501405,Aceh Tenggara,Kab. Aceh Tenggara,Aceh,3.507.938,97.800.293
501402,Aceh Timur,Kab. Aceh Timur,Aceh,4.940.461,97.756.348
501408,Aceh Utara,Kab. Aceh Utara,Aceh,5.026.651,97.318.268
5012832,Alapan,Kab. Simeulue,Aceh,2.816,95.739
5012578,Arongan Lambalek,Kab. Aceh Barat,Aceh,4.343,95.951
5012671,Atu Lintang,Kab. Aceh Tengah,Aceh,4.443,96.776
5012589,Babah Rot,Kab. Aceh Barat Daya,Aceh,3.92,96.706
5012686,Babul Makmur,Kab. Aceh Tenggara,Aceh,3.316,97.991
5012687,Babul Rahmah,Kab. Aceh Tenggara,Aceh,3.308,97.698
5012688,Babussalam,Kab. Aceh Tenggara,Aceh,3.493,97.801
5012689,Badar,Kab. Aceh Tenggara,Aceh,3.578,97.817
5012790,Baeutong Ateuh Banggalang,Kab. Nagan Raya,Aceh,4.461,96.524
5012841,Baiturrahman,Kota Banda Aceh,Aceh,5.545,95.318
5012600,Baitussalam,Kab. Aceh Besar,Aceh,5.605,95.388
5012630,Bakongan,Kab. Aceh Selatan,Aceh,2.962,97.47
5012631,Bakongan Timur,Kab. Aceh Selatan,Aceh,2.902,97.578
5012726,Baktiya,Kab. Aceh Utara,Aceh,05.09,97.405
5012727,Baktiya Barat,Kab. Aceh Utara,Aceh,5.132,97.34
5012690,Bambel,Kab. Aceh Tenggara,Aceh,3.457,97.904
501397,Banda Aceh,Kota Banda Aceh,Aceh,554.491,9.534.312
5012701,Banda Alam,Kab. Aceh Timur,Aceh,4.86,97.687
5012728,Banda Baro,Kab. Aceh Utara,Aceh,5.193,96.969
